id,original_id,category,value,description,subcategory,usage_count,order_index,is_default,imported_at,created_at,updated_at,anatomy_group,is_nsfw
00010fe3-ba50-444e-8cd6-400ecda629da,38401,effect,Shadow effect,Dark area from blocked light,,0,0,f,2025-09-12 22:17:43.209,2025-04-07 01:33:36,2025-04-22 10:40:00,,f
00018579-890a-493a-89a1-c4dd200fc470,4333,role,as a ((samurai)),,,0,0,f,2025-09-12 22:17:35.704,2025-04-03 22:17:06,2025-04-22 10:40:00,,f
000427cb-716c-46fa-972e-8c7460c1a0b1,29043,fashion_style,fendi,,,0,0,f,2025-09-12 22:17:41.247,2025-04-06 23:19:45,2025-04-22 10:40:00,,f
000439f2-6442-4c36-a269-8584f9da1a99,7814,vehicle_options,GMC Terrain,,,0,0,f,2025-09-12 22:17:37.533,2025-04-04 00:16:47,2025-04-22 10:40:00,,f
000d8ab2-68b1-482f-a57e-4f674a23957f,10227,fashion_options,earrings,,,0,0,f,2025-09-12 22:17:38.051,2025-04-04 03:29:24,2025-04-22 10:40:00,,f
000d92c6-9d57-40d1-9fc7-a1c03af996ef,23445,scene_options,Bark,,,0,0,f,2025-09-12 22:17:40.661,2025-04-05 01:18:13,2025-04-22 10:40:00,,f
000e7502-8875-4bea-afe9-f962de9ca93b,4371,role,as a ((pixie gardener)),,,0,0,f,2025-09-12 22:17:35.704,2025-04-03 22:17:07,2025-04-22 10:40:00,,f
0011d1a5-e658-402a-83cd-c025d7b3cd10,29593,character_style,charlie bucket,,,0,0,f,2025-09-12 22:17:41.376,2025-04-06 23:20:09,2025-04-22 10:40:00,,f
0013eb72-1ef8-4389-b67e-3f241499b172,38568,medium,Ink medium,Liquid colorant,,0,0,f,2025-09-12 22:17:43.349,2025-04-07 01:33:40,2025-04-22 10:40:00,,f
00189817-80e0-45d2-a774-10919cf5ba08,30873,buildings,"Milwaukee Art Museum, Wisconsin, USA",,,0,0,f,2025-09-12 22:17:41.622,2025-04-06 23:51:41,2025-04-22 10:40:00,,f
0018da69-c57b-4bdc-94d7-e29988024b40,33235,feminine_hair_styles,Medium Angled Bob (Medium) hair,,,0,0,f,2025-09-12 22:17:42.159,2025-04-07 00:06:00,2025-04-22 10:40:00,,f
