id,name,description,era,categories,tags,visual_elements,color_palette,mood_keywords,related_aesthetics,media_examples,reference example images,origin,category
1,2000s Japanese Schoolgirl Film,"An aesthetic movement that emerged in the 2000s, characterized by the cultural trends, technology, and visual styles of that era.",1990s,music,"bright,cute,vibrant,futuristic,fantasy","album covers,concert visuals,music videos,band imagery,sound equipment,sleek designs,metallic surfaces,LED lighting","hot pink,electric blue,neon purple,bright red,white,neon green","progressive,endearing,charming,cute,energetic","Frutiger Aero,McBling,Y2K,Cyber Y2K",,/aesthetic_images/2000s_Japanese_Schoolgirl_Film/2000s_Japanese_Schoolgirl_Film_1.jpg; /aesthetic_images/2000s_Japanese_Schoolgirl_Film/2000s_Japanese_Schoolgirl_Film_2.jpg; /aesthetic_images/2000s_Japanese_Schoolgirl_Film/2000s_Japanese_Schoolgirl_Film_3.webp,,
2,2000s Preppy,"An aesthetic movement that emerged in the 2000s, characterized by the cultural trends, technology, and visual styles of that era.",1940s,interior_design,"nostalgic,urban","city landscapes,street art,concrete structures,neon signs","steel blue,asphalt black,concrete gray,brick red","sentimental,nostalgic,wistful","Frutiger Aero,McBling,Y2K,Cyber Y2K",,/aesthetic_images/preppy/preppy_1.jpg;/aesthetic_images/preppy/preppy_2.jpg;/aesthetic_images/preppy/preppy_3.jpg,,
3,2000s Ringtone Mascot,"An aesthetic movement that emerged in the 2000s, characterized by the cultural trends, technology, and visual styles of that era.",1990s,internet_culture,"vibrant,edgy,digital","digital interfaces,screen aesthetics,online imagery,memes,social media visuals",,"rebellious,energetic,vibrant,bold,edgy","Y2K,Frutiger Aero,McBling,Cyber Y2K,Internetcore",,/aesthetic_images_updated/2000s Ringtone Mascot/2000s Ringtone Mascot_1.jpg; /aesthetic_images_updated/2000s Ringtone Mascot/2000s Ringtone Mascot_2.jpg; /aesthetic_images_updated/2000s Ringtone Mascot/2000s Ringtone Mascot_3.jpg,,
4,2010s Internet,"An aesthetic movement that emerged in the 2010s, characterized by the cultural trends, technology, and visual styles of that era.",1900s,internet_culture,"dark,edgy,digital,retro,elegant","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,sophisticated,intense,rebellious,bold","Internetcore,Webcore,Cybercore,Glitchcore",,,,
5,2014 Girly,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 2014 Girly aesthetic.",1920s,internet_culture,"urban,cute,dark,rural,pastel","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,city landscapes,street art,concrete structures","charcoal,pastel pink,asphalt black,concrete gray,pastel blue,lavender","brooding,intense,endearing,charming,cute","Internetcore,Webcore,Cybercore,Glitchcore",,,,
6,2014 Tumblr,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 2014 Tumblr aesthetic.",1940s,internet_culture,"modern,vibrant,retro,urban","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,city landscapes,street art,concrete structures","steel blue,asphalt black,concrete gray,brick red","energetic,vibrant,lively","Internetcore,Webcore,Cybercore,Glitchcore",,/aesthetic_images_updated/2014 Tumblr/2014 Tumblr_1.jpg; /aesthetic_images_updated/2014 Tumblr/2014 Tumblr_2.jpg; /aesthetic_images_updated/2014 Tumblr/2014 Tumblr_3.jpg,,
7,2020 Alt,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 2020 Alt aesthetic.",1950s,music,"vibrant,atmospheric","album covers,concert visuals,music videos,band imagery,sound equipment","turquoise,mint green,yellow,pink","evocative,atmospheric,energetic,immersive,vibrant",,,,,
8,2020 TikTok,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 2020 TikTok aesthetic.",1980s,internet_culture,"modern,futuristic,fantasy","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,sleek designs,metallic surfaces,LED lighting","neon pink,electric blue,neon purple,white,lime green,bright purple","innovative,progressive,futuristic","Internetcore,Webcore,Cybercore,Glitchcore",,,,
9,2020s Gamer,"An aesthetic movement that emerged in the 2020s, characterized by the cultural trends, technology, and visual styles of that era.",1980s,internet_culture,"futuristic,dark,natural","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,sleek designs,metallic surfaces,LED lighting","charcoal,neon pink,earth brown,sunset orange,forest green,electric blue","brooding,intense,progressive,innovative,futuristic","Internetcore,Webcore,Cybercore,Glitchcore",,,,
10,2K1,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 2K1 aesthetic.",1920s,literary,"futuristic,modern","sleek designs,metallic surfaces,LED lighting,geometric shapes","electric blue,neon purple,white,black,deep red,pearl white","innovative,progressive,futuristic",,,,,
11,2K5,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 2K5 aesthetic.",1930s,film,"grungy,retro","cinematography,set designs,costume design,lighting,visual effects",,"grungy,authentic,raw",,,,,
12,2K7,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 2K7 aesthetic.",1920s,film,"fantasy,natural,nostalgic,atmospheric","cinematography,set designs,costume design,lighting,visual effects,organic forms,plant life,natural textures","earth brown,sunset orange,black,deep red,pearl white,forest green","wistful,evocative,sentimental,atmospheric,nostalgic",,,,,
13,50s Suburbia,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 50s Suburbia aesthetic.",1930s,architecture,"grungy,natural,fantasy,pastel,rural","building designs,structural elements,interior spaces,architectural details,organic forms,plant life,natural textures,earth tones","pastel pink,sunset orange,earth brown,pastel blue,lavender,forest green","grungy,authentic,raw",,,,,
14,7 HD,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 7 HD aesthetic.",1930s,music,"vibrant,fantasy,minimalist,digital","album covers,concert visuals,music videos,band imagery,sound equipment,clean lines,simple forms,negative space",,"serene,clean,minimalist,energetic,vibrant",,,,,
15,80 Thousand,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 80 Thousand aesthetic.",1910s,film,"elegant,nostalgic","cinematography,set designs,costume design,lighting,visual effects,refined details,luxurious materials,sophisticated compositions",,"sophisticated,wistful,sentimental,nostalgic,refined",,,,,
16,80s Cool,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 80s Cool aesthetic.",1910s,interior_design,"cute,digital",,,"cute,endearing,charming",,,,,
17,80s Heartthrob,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 80s Heartthrob aesthetic.",2000s,internet_culture,"grungy,bright","digital interfaces,screen aesthetics,online imagery,memes,social media visuals","hot pink,electric blue,bright red,neon green,lime green,metallic silver","grungy,authentic,raw","Internetcore,Webcore,Cybercore,Glitchcore",,/aesthetic_images/80s_Heartthrob/80s_Heartthrob_1.jpg; /aesthetic_images/80s_Heartthrob/80s_Heartthrob_2.jpg; /aesthetic_images/80s_Heartthrob/80s_Heartthrob_3.webp,,
18,80s Summer Camp,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 80s Summer Camp aesthetic.",1950s,film,"edgy,nostalgic,vintage","cinematography,set designs,costume design,lighting,visual effects,antique objects,retro designs,aged textures","sage green,mint green,pink,turquoise,sepia,yellow","wistful,sentimental,rebellious,nostalgic,bold",,,/aesthetic_images/80s Summer Camp/80s Summer Camp_1.jpg; /aesthetic_images/80s Summer Camp/80s Summer Camp_2.jpg; /aesthetic_images/80s Summer Camp/80s Summer Camp_3.webp,,
19,90s Cool,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 90s Cool aesthetic.",1930s,internet_culture,"atmospheric,natural,cute,vintage,minimalist","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,organic forms,plant life,natural textures","sage green,earth brown,sunset orange,sepia,cream,dusty rose","serene,evocative,clean,endearing,charming","Internetcore,Webcore,Cybercore,Glitchcore",,,,
20,90s Extreme,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 90s Extreme aesthetic.",2020s,historical,"grungy,dark,digital","shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,intense,grungy,authentic,raw",,,,,
21,Abstract Tech,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Abstract Tech aesthetic.",1930s,visual_art,"urban,natural,grungy,minimalist,modern","city landscapes,street art,concrete structures,neon signs,organic forms,plant life,natural textures,earth tones","earth brown,sunset orange,asphalt black,concrete gray,brick red,forest green","serene,clean,minimalist,grungy,authentic",,,/aesthetic_images/Abstract_Expressionism/Abstract_Expressionism_1.jpg; /aesthetic_images/Abstract_Expressionism/Abstract_Expressionism_2.jpg; /aesthetic_images/Abstract_Expressionism/Abstract_Expressionism_3.webp,,
22,Acid Design,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Acid Design aesthetic.",2000s,historical,"vintage,nostalgic,retro","antique objects,retro designs,aged textures","sage green,metallic silver,hot pink,electric blue,sepia,lime green","sentimental,nostalgic,wistful",,,/aesthetic_images/Acid_Design/Acid_Design_1.jpg; /aesthetic_images/Acid_Design/Acid_Design_2.jpg; /aesthetic_images/Acid_Design/Acid_Design_3.webp,,
23,Acid House,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Acid House aesthetic.",1960s,interior_design,"vintage,minimalist,futuristic","antique objects,retro designs,aged textures,clean lines,simple forms,negative space,geometric shapes,sleek designs","sage green,metallic silver,electric blue,neon purple,white,sepia","serene,clean,progressive,minimalist,innovative",,,/aesthetic_images_updated/Acid House/Acid House_1.jpg; /aesthetic_images_updated/Acid House/Acid House_2.jpg; /aesthetic_images_updated/Acid House/Acid House_3.jpeg,,
24,Acidwave,"A wave aesthetic movement characterized by acid influences, featuring distinctive visual and musical elements.",1910s,interior_design,"fantasy,rural,atmospheric",,,"evocative,immersive,atmospheric","Dreamwave,Vaporwave,Retrowave,Synthwave",,/aesthetic_images/Acidwave/Acidwave_1.jpg; /aesthetic_images/Acidwave/Acidwave_2.jpg; /aesthetic_images/Acidwave/Acidwave_3.webp,,
25,Adventurecore,"A core aesthetic centered around adventure themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1940s,historical,"elegant,digital,atmospheric,natural","refined details,luxurious materials,sophisticated compositions,organic forms,plant life,natural textures,earth tones","sunset orange,forest green,earth brown,sky blue","sophisticated,evocative,atmospheric,immersive,refined","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/adventurecore/adventurecore_1.jpg;/aesthetic_images/adventurecore/adventurecore_2.jpg;/aesthetic_images/adventurecore/adventurecore_3.jpg,,
26,Adventure Pulp,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Adventure Pulp aesthetic.",1970s,literary,"natural,urban,digital","organic forms,plant life,natural textures,earth tones,city landscapes,street art,concrete structures,neon signs","earth brown,sunset orange,asphalt black,concrete gray,brick red,forest green",,,,,,
27,Aetherpunk,"A punk-influenced aesthetic that combines aether elements with rebellious, alternative cultural themes and visual styles.",1950s,film,"dark,cute,elegant,modern","cinematography,set designs,costume design,lighting,visual effects,shadows,low lighting,dramatic contrasts","charcoal,mint green,pink,turquoise,dark gray,black","brooding,sophisticated,intense,endearing,charming","Steampunk,Solarpunk,Cyberpunk,Dieselpunk",,/aesthetic_images/Aetherpunk/Aetherpunk_1.jpg; /aesthetic_images/Aetherpunk/Aetherpunk_2.jpg; /aesthetic_images/Aetherpunk/Aetherpunk_3.webp,,
28,Afro-Victorian,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Afro-Victorian aesthetic.",1910s,internet_culture,"minimalist,retro","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,clean lines,simple forms,negative space",,"clean,serene,minimalist","Internetcore,Webcore,Cybercore,Glitchcore",,/aesthetic_images/Afro-Victorian/Afro-Victorian_1.jpg; /aesthetic_images/Afro-Victorian/Afro-Victorian_2.jpg; /aesthetic_images/Afro-Victorian/Afro-Victorian_3.webp,,
29,Afrofuturism,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Afrofuturism aesthetic.",2020s,literary,"vintage,digital","antique objects,retro designs,aged textures","cream,dusty rose,sage green,sepia",,,,/aesthetic_images/Afrofuturism/Afrofuturism_1.jpg; /aesthetic_images/Afrofuturism/Afrofuturism_2.jpg; /aesthetic_images/Afrofuturism/Afrofuturism_3.webp,,
30,After Hours,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the After Hours aesthetic.",1950s,historical,"rural,edgy,vintage","antique objects,retro designs,aged textures","sage green,mint green,pink,turquoise,sepia,yellow","edgy,rebellious,bold",,,,,
31,Agropeople,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Agropeople aesthetic.",1930s,internet_culture,"grungy,urban,bright,digital","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,city landscapes,street art,concrete structures","hot pink,asphalt black,concrete gray,electric blue,bright red,brick red","grungy,authentic,raw","Internetcore,Webcore,Cybercore,Glitchcore",,,,
32,Ah Beng,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Ah Beng aesthetic.",1970s,visual_art,"vintage,nostalgic,retro","antique objects,retro designs,aged textures","cream,dusty rose,sage green,sepia","sentimental,nostalgic,wistful",,,,,
33,Alien,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Alien aesthetic.",1910s,literary,"fantasy,vibrant,digital,vintage","antique objects,retro designs,aged textures","cream,dusty rose,sage green,sepia","energetic,vibrant,lively",,,,,
34,Alternative,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Alternative aesthetic.",1930s,music,"vintage,urban","album covers,concert visuals,music videos,band imagery,sound equipment,antique objects,retro designs,aged textures","sage green,asphalt black,concrete gray,sepia,brick red,cream",,,,,,
35,Amateur Photography,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Amateur Photography aesthetic.",1970s,music,"natural,pastel,atmospheric,retro","album covers,concert visuals,music videos,band imagery,sound equipment,organic forms,plant life,natural textures","pastel pink,sunset orange,earth brown,pastel blue,lavender,forest green","evocative,immersive,atmospheric",,,,,
36,American Gothic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the American Gothic aesthetic.",2010s,literary,"bright,rural,vibrant,pastel","soft colors,gentle gradients,light tones","pastel pink,hot pink,electric blue,pastel blue,lavender,bright red","energetic,vibrant,lively",,,/aesthetic_images/American Gothic/American Gothic_1.jpg; /aesthetic_images/American Gothic/American Gothic_2.jpg; /aesthetic_images/American Gothic/American Gothic_3.webp,,
37,American Kitsch,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the American Kitsch aesthetic.",1900s,fashion,"natural,vintage","clothing styles,accessories,textiles,patterns,silhouettes,organic forms,plant life,natural textures","sage green,earth brown,sunset orange,sepia,cream,dusty rose",,,,,,
38,American Pioneers,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the American Pioneers aesthetic.",2000s,visual_art,"atmospheric,bright",,"hot pink,electric blue,bright red,neon green,lime green,metallic silver","evocative,immersive,atmospheric",,,,,
39,American Thanksgiving,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the American Thanksgiving aesthetic.",pre-1900s,architecture,"nostalgic,vibrant","building designs,structural elements,interior spaces,architectural details",,"wistful,sentimental,energetic,nostalgic,vibrant",,,,,
40,Americana,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Americana aesthetic.",1910s,subculture,"minimalist,vintage,futuristic,urban,elegant","clean lines,simple forms,negative space,geometric shapes,antique objects,retro designs,aged textures,sleek designs","sage green,metallic silver,asphalt black,concrete gray,electric blue,neon purple","sophisticated,serene,clean,progressive,minimalist",,,,,
41,Analog Horror,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Analog Horror aesthetic.",1980s,fashion,"natural,rural","clothing styles,accessories,textiles,patterns,silhouettes,organic forms,plant life,natural textures","neon pink,earth brown,sunset orange,electric blue,lime green,bright purple",,,,/aesthetic_images/Analog Horror/Analog Horror_1.jpg; /aesthetic_images/Analog Horror/Analog Horror_2.jpg; /aesthetic_images/Analog Horror/Analog Horror_3.webp,,
42,Ancient Egypt,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Ancient Egypt aesthetic.",1970s,literary,"vibrant,atmospheric,minimalist,cute,nostalgic","clean lines,simple forms,negative space,geometric shapes",,"serene,evocative,wistful,sentimental,clean",,,,,
43,Androgynous,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Androgynous aesthetic.",1960s,interior_design,"vibrant,grungy,retro,rural",,,"energetic,grungy,vibrant,raw,authentic",,,,,
44,Angelcore,"A core aesthetic centered around angel themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1910s,visual_art,"rural,modern,retro",,,,"Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/angelcore/angelcore_1.jpg;/aesthetic_images/angelcore/angelcore_2.jpg;/aesthetic_images/angelcore/angelcore_3.jpg,,
45,Anglo Gothic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Anglo Gothic aesthetic.",1920s,literary,"retro,pastel,vibrant,atmospheric,natural","soft colors,gentle gradients,light tones,organic forms,plant life,natural textures,earth tones","pastel pink,earth brown,sunset orange,pastel blue,lavender,black","evocative,atmospheric,energetic,immersive,vibrant",,,/aesthetic_images/gothic/gothic_1.jpg;/aesthetic_images/gothic/gothic_2.jpg;/aesthetic_images/gothic/gothic_3.jpg,,
46,Angura,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Angura aesthetic.",2020s,historical,"rural,edgy",,,"edgy,rebellious,bold",,,,,
47,Anime New Moon,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Anime New Moon aesthetic.",2020s,visual_art,"dark,rural,retro,edgy,natural","shadows,low lighting,dramatic contrasts,organic forms,plant life,natural textures,earth tones","charcoal,earth brown,sunset orange,dark gray,black,forest green","brooding,intense,rebellious,bold,edgy",,,,,
48,Animecore,"A core aesthetic centered around anime themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1980s,interior_design,"nostalgic,vintage,natural","antique objects,retro designs,aged textures,organic forms,plant life,natural textures,earth tones","sage green,earth brown,sunset orange,neon pink,electric blue,bright purple","sentimental,nostalgic,wistful","Softcore,Cottagecore,Fairycore,Darkcore",,/aesthetic_images/animecore/animecore_1.jpg;/aesthetic_images/animecore/animecore_2.jpg;/aesthetic_images/animecore/animecore_3.jpg,,
49,Animegrind,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Animegrind aesthetic.",2000s,literary,"elegant,minimalist,vibrant,futuristic","refined details,luxurious materials,sophisticated compositions,clean lines,simple forms,negative space,geometric shapes,sleek designs","hot pink,electric blue,neon purple,white,lime green,metallic silver","sophisticated,serene,clean,progressive,minimalist",,,,,
50,Animesque,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Animesque aesthetic.",1920s,fashion,"minimalist,rural,digital,modern","clothing styles,accessories,textiles,patterns,silhouettes,clean lines,simple forms,negative space","pearl white,black,deep red,gold","clean,serene,minimalist",,,,,
51,Anti-Fashion,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Anti-Fashion aesthetic.",pre-1900s,historical,"urban,cute,modern,fantasy","city landscapes,street art,concrete structures,neon signs","steel blue,asphalt black,concrete gray,brick red","cute,endearing,charming",,,/aesthetic_images/Anti-Fashion/Anti-Fashion_1.jpg; /aesthetic_images/Anti-Fashion/Anti-Fashion_2.jpg; /aesthetic_images/Anti-Fashion/Anti-Fashion_3.webp,,
52,Antique Grunge,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Antique Grunge aesthetic.",1900s,internet_culture,"retro,bright","digital interfaces,screen aesthetics,online imagery,memes,social media visuals","electric blue,hot pink,neon green,bright red",,"Internetcore,Webcore,Cybercore,Glitchcore",,/aesthetic_images/grunge/grunge_1.jpeg;/aesthetic_images/grunge/grunge_2.jpg;/aesthetic_images/grunge/grunge_3.jpg,,
53,Apache,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Apache aesthetic.",2020s,internet_culture,"atmospheric,minimalist","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,clean lines,simple forms,negative space",,"serene,evocative,clean,minimalist,atmospheric","Internetcore,Webcore,Cybercore,Glitchcore",,,,
54,Appalachian Gothic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Appalachian Gothic aesthetic.",2000s,architecture,"elegant,modern,bright","building designs,structural elements,interior spaces,architectural details,refined details,luxurious materials,sophisticated compositions","hot pink,electric blue,bright red,neon green,lime green,metallic silver","sophisticated,refined,elegant",,,/aesthetic_images/gothic/gothic_1.jpg;/aesthetic_images/gothic/gothic_2.jpg;/aesthetic_images/gothic/gothic_3.jpg,,
55,Arabfunny,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Arabfunny aesthetic.",1900s,subculture,"minimalist,vibrant,grungy","clean lines,simple forms,negative space,geometric shapes",,"serene,clean,minimalist,energetic,grungy",,,,,
56,Arabian Driftcore,"A core aesthetic centered around arabian drift themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1970s,internet_culture,"nostalgic,urban","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,city landscapes,street art,concrete structures","steel blue,asphalt black,concrete gray,brick red","sentimental,nostalgic,wistful","Softcore,Cottagecore,Fairycore,Darkcore,Internetcore",,/aesthetic_images/Arabian_Driftcore/Arabian_Driftcore_1.jpg; /aesthetic_images/Arabian_Driftcore/Arabian_Driftcore_2.jpg; /aesthetic_images/Arabian_Driftcore/Arabian_Driftcore_3.webp,,
57,Arabian Nights,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Arabian Nights aesthetic.",pre-1900s,historical,"minimalist,natural,grungy,digital","clean lines,simple forms,negative space,geometric shapes,organic forms,plant life,natural textures,earth tones","sunset orange,forest green,earth brown,sky blue","serene,clean,minimalist,grungy,authentic",,,,,
58,Arcadecore,"A core aesthetic centered around arcade themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",2010s,internet_culture,"minimalist,vibrant,dark,edgy","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,clean lines,simple forms,negative space","charcoal,black,deep purple,dark gray","brooding,serene,clean,intense,rebellious","Softcore,Cottagecore,Fairycore,Darkcore,Internetcore",,/aesthetic_images/arcadecore/arcadecore_1.jpg;/aesthetic_images/arcadecore/arcadecore_2.jpg;/aesthetic_images/arcadecore/arcadecore_3.jpg,,
59,Aristocrat,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Aristocrat aesthetic.",1930s,music,"futuristic,elegant,grungy","album covers,concert visuals,music videos,band imagery,sound equipment,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","sophisticated,progressive,innovative,grungy,futuristic",,,,,
