id,original_id,name,description,era,categories,tags,visual_elements,color_palette,mood_keywords,related_aesthetics,media_examples,reference_images,origin,category,usage_count,popularity,imported_at,created_at,updated_at
001de2d4-8e62-467c-9a79-a79e04c5eae9,,verisimilitude,A verisimilitude aesthetic style with distinctive visual and cultural characteristics,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673
002d9501-6b4f-4ca6-9c2b-44fbff121229,758,Dollcore,"A core aesthetic centered around doll themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",1900s,music,"cute,futuristic","album covers,concert visuals,music videos,band imagery,sound equipment,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","progressive,endearing,charming,cute,innovative","Softcore,Cottagecore,Fairycore,Darkcore",,/home/ubuntu/aesthetic_images/dollcore/dollcore_1.png;/home/ubuntu/aesthetic_images/dollcore/dollcore_2.jpg;/home/ubuntu/aesthetic_images/dollcore/dollcore_3.jpg,,,0,0.00,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732
00466c88-0255-4663-853b-f864cb3ef46e,1165,Pirate,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Pirate aesthetic.",1980s,subculture,"grungy,vintage","antique objects,retro designs,aged textures","neon pink,sage green,electric blue,sepia,lime green,bright purple","grungy,authentic,raw",,,,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
005be0e0-c2f5-49cd-96c0-fcfa00a8e158,,sequence,A sequence aesthetic style with distinctive visual and cultural characteristics,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673
00eba0bb-1389-4d7b-a1a3-29b5ae9d0d15,,Anemoiacore,A anemoiacore aesthetic style characterized by its unique visual and cultural elements,,,,,,,,,,Internet,Core Aesthetic,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
01173539-48f8-4015-92e6-1ec796402e80,1183,Positivity Kawaii,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Positivity Kawaii aesthetic.",2020s,music,"rural,minimalist,grungy","album covers,concert visuals,music videos,band imagery,sound equipment,clean lines,simple forms,negative space",,"serene,clean,minimalist,grungy,authentic",,,/home/ubuntu/aesthetic_images/kawaii/kawaii_1.jpg;/home/ubuntu/aesthetic_images/kawaii/kawaii_2.jpg;/home/ubuntu/aesthetic_images/kawaii/kawaii_3.jpg,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
013bc114-e8ac-4fd1-ad30-f5d08d4133c7,,Butterfly,A butterfly aesthetic style with distinctive visual and cultural characteristics,,,,,,,superflat,,,Contemporary,Modern,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
0176eb1b-ca6a-4742-b202-1251780e5401,807,Fanfare,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Fanfare aesthetic.",pre-1900s,music,"rural,futuristic","album covers,concert visuals,music videos,band imagery,sound equipment,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","innovative,progressive,futuristic",,,,,,0,0.00,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732
0195fd68-5ecd-407e-a542-7f44ff69d075,1250,Rubberhose,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Rubberhose aesthetic.",1900s,literary,"dark,vibrant,atmospheric","shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,evocative,intense,atmospheric,energetic",,,,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
01dc6a7e-15b2-4ddf-8ab8-1f49ba2172a6,,Gasoline,A gasoline aesthetic style with distinctive visual and cultural characteristics,,,,,,,gamine,,,Contemporary,Modern,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
01e3ed7b-91a6-4282-8a9a-5c7ac64fe955,,Countrycore,A countrycore aesthetic style,,,,,,,,,,Contemporary,Travel/Location,0,0.00,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673
01f0c4e8-5547-4214-ad93-bb563f351679,,Daddy Issues,A daddy issues aesthetic style with distinctive visual and cultural characteristics,,,,,,,dead inside,,,Domestic,Family/Domestic,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
01f8e14b-e4c6-447f-9f15-b86b36c43b0f,,multiple exposure,A multiple exposure aesthetic style with distinctive visual and cultural characteristics,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673
02644940-182d-4d60-8115-5dad7907a0ce,961,Jejemon,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Jejemon aesthetic.",2020s,subculture,"natural,retro,cute,elegant","organic forms,plant life,natural textures,earth tones,refined details,luxurious materials,sophisticated compositions","sunset orange,forest green,earth brown,sky blue","sophisticated,endearing,charming,cute,refined",,,/home/ubuntu/aesthetic_images/emo/emo_1.jpg;/home/ubuntu/aesthetic_images/emo/emo_2.jpg;/home/ubuntu/aesthetic_images/emo/emo_3.jpg,,,0,0.00,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732
0270f858-f0cd-41c2-b5e7-d5ebc2f30c9c,,90s Indie,A 90s indie aesthetic style - decade-specific variation,,,,,,,indie,,,Nostalgic,Retro/Vintage,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
02c31a7b-203b-4c61-9180-718adb483336,570,Babygirl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Babygirl aesthetic.",pre-1900s,historical,"atmospheric,retro,rural",,,"evocative,immersive,atmospheric",,,,,,0,0.00,2025-09-12 22:17:43.731,2025-09-12 22:17:43.731,2025-09-12 22:17:43.731
02edc6f9-8739-44b9-bba2-080be2aab612,,Harry Potter Dark Academia,A harry potter dark academia aesthetic style with distinctive visual and cultural characteristics,,,,,,,autumn dark academia,,,Gothic,Dark/Gothic,0,0.00,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176
0301dbe6-607a-48fc-9603-ae9e9f9af8e5,1301,Sloanie,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Sloanie aesthetic.",2000s,historical,"minimalist,urban","clean lines,simple forms,negative space,geometric shapes,city landscapes,street art,concrete structures,neon signs","hot pink,asphalt black,concrete gray,electric blue,brick red,lime green","clean,serene,minimalist",,,,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
031b6a8a-a3d1-4807-b08d-0126d43b5c8f,,Funkcore,A funkcore aesthetic style with distinctive visual and cultural characteristics,,,,,,,urbancore,,,Internet,Core Aesthetic,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
031d640e-0a2b-4217-8dce-c3c08f5679ec,1403,Tropical,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Tropical aesthetic.",1910s,music,"elegant,vintage","album covers,concert visuals,music videos,band imagery,sound equipment,refined details,luxurious materials,sophisticated compositions","cream,dusty rose,sage green,sepia","sophisticated,refined,elegant",,,/home/ubuntu/aesthetic_images/Tropical/Tropical_1.jpg; /home/ubuntu/aesthetic_images/Tropical/Tropical_2.jpg; /home/ubuntu/aesthetic_images/Tropical/Tropical_3.webp,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
035014ab-6327-45c1-8190-7da371258e3b,1332,Stilyagi,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Stilyagi aesthetic.",1930s,film,"minimalist,natural,rural,dark","cinematography,set designs,costume design,lighting,visual effects,clean lines,simple forms,negative space","charcoal,earth brown,sunset orange,dark gray,black,forest green","brooding,serene,clean,intense,minimalist",,,,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
03789b25-be38-40f1-8f5b-0d3b364e44f4,,story in description,A story in description aesthetic style with distinctive visual and cultural characteristics,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673
037e40e1-d2c2-4e8e-a68c-e7c59c713e59,916,Hexatron,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Hexatron aesthetic.",1950s,subculture,"natural,retro","organic forms,plant life,natural textures,earth tones","mint green,earth brown,sunset orange,pink,turquoise,yellow",,,,,,,0,0.00,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732
03c737bb-612f-4400-b47e-b1b1ee41bbb6,,Delicatecore,A delicatecore aesthetic style with distinctive visual and cultural characteristics,,,,,,,selkiecore,,,Internet,Core Aesthetic,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
04057102-eda6-496f-bb0b-1b2fc6f347c8,662,Chunyu,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Chunyu aesthetic.",pre-1900s,music,"fantasy,edgy,cute","album covers,concert visuals,music videos,band imagery,sound equipment",,"rebellious,endearing,charming,cute,bold",,,,,,0,0.00,2025-09-12 22:17:43.731,2025-09-12 22:17:43.731,2025-09-12 22:17:43.731
04628a5d-2744-4df5-93be-f3300978e45d,1033,Medieval Fantasy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Medieval Fantasy aesthetic.",1920s,literary,"fantasy,rural,dark,minimalist,nostalgic","shadows,low lighting,dramatic contrasts,clean lines,simple forms,negative space,geometric shapes","charcoal,dark gray,black,deep red,pearl white,deep purple","brooding,serene,wistful,sentimental,clean",,,,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
048fbb9d-ab14-4c14-8fa2-225f6ce8ebd8,,edwardian,A edwardian aesthetic style with distinctive visual and cultural characteristics,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673
04c1a0cb-0288-4a16-b672-505510a40035,,e621 post recursion,A e621 post recursion aesthetic style with distinctive visual and cultural characteristics,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673,2025-09-12 22:18:58.673
05336ed2-bcd3-426c-a345-21f5867e0898,1319,Soviet Nostalgia,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Soviet Nostalgia aesthetic.",1920s,historical,"pastel,grungy,vintage,nostalgic","soft colors,gentle gradients,light tones,antique objects,retro designs,aged textures","sage green,pastel pink,pastel blue,lavender,sepia,black","wistful,sentimental,nostalgic,grungy,authentic",,,,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
05405fa3-8351-4750-9f93-4add9a64796b,1488,Yakuza,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Yakuza aesthetic.",1910s,subculture,"atmospheric,vibrant,dark","shadows,low lighting,dramatic contrasts","charcoal,black,deep purple,dark gray","brooding,evocative,intense,atmospheric,energetic",,,,,,0,0.00,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971
05aa7f67-2950-4a19-b03d-b4c358d7afdb,,Folk,A folk aesthetic style with distinctive visual and cultural characteristics,,,,,,,folk punk,,,Contemporary,Modern,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
05b5b74d-a95f-4677-aa11-4a0998520e04,,Creepy Scary Dreamcore,A creepy scary dreamcore aesthetic style with distinctive visual and cultural characteristics,,,,,,,dreamcore,,,Internet,Core Aesthetic,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
05d4aa87-1bd8-481a-a3bb-0b9b02fbe7c2,1049,Midwest Gothic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Midwest Gothic aesthetic.",pre-1900s,film,"minimalist,fantasy,nostalgic,bright,vibrant","cinematography,set designs,costume design,lighting,visual effects,clean lines,simple forms,negative space","electric blue,hot pink,neon green,bright red","serene,wistful,sentimental,clean,minimalist",,,/home/ubuntu/aesthetic_images/gothic/gothic_1.jpg;/home/ubuntu/aesthetic_images/gothic/gothic_2.jpg;/home/ubuntu/aesthetic_images/gothic/gothic_3.jpg,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
05ec982c-7173-44fc-a778-187ac5d0e6d5,,2000s Coquette,A 2000s coquette aesthetic style - decade-specific variation,,,,,,,coquette,,,Nostalgic,Retro/Vintage,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
05fa1f5b-256b-4982-8545-4eb3575afcaf,,Grunge Purple,A grunge purple aesthetic style with distinctive visual and cultural characteristics,,,,,,,grunge revival,,,Gothic,Dark/Gothic,0,0.00,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176
061f72e0-d21a-48b0-8ebd-8e25b8a1c7be,760,Dolly Girl,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dolly Girl aesthetic.",1950s,music,"atmospheric,nostalgic,digital,grungy,edgy","album covers,concert visuals,music videos,band imagery,sound equipment","turquoise,mint green,yellow,pink","evocative,wistful,sentimental,rebellious,atmospheric",,,,,,0,0.00,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732
0643a07f-9be1-4936-ae8c-f33bd560246f,505,80s Cool,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the 80s Cool aesthetic.",1910s,interior_design,"cute,digital",,,"cute,endearing,charming",,,,,,0,0.00,2025-09-12 22:17:43.731,2025-09-12 22:17:43.731,2025-09-12 22:17:43.731
06479448-4877-4768-a5af-c8ecb453fdd1,,90's Skater Girl,A 90's skater girl aesthetic style,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
0690157d-3f92-42a7-aaee-58657d08fcf5,1418,Urban Fantasy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Urban Fantasy aesthetic.",1940s,visual_art,"grungy,edgy",,,"rebellious,grungy,authentic,raw,bold",,,,,,0,0.00,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971
06de9f48-bf46-4d40-b182-96f09ae0eea2,1309,Soft Grunge,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Soft Grunge aesthetic.",pre-1900s,film,"minimalist,edgy","cinematography,set designs,costume design,lighting,visual effects,clean lines,simple forms,negative space",,"serene,clean,rebellious,minimalist,bold",,,/home/ubuntu/aesthetic_images/grunge/grunge_1.jpeg;/home/ubuntu/aesthetic_images/grunge/grunge_2.jpg;/home/ubuntu/aesthetic_images/grunge/grunge_3.jpg,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
06fddd3b-4dc1-4cc4-be7a-679edd6b0422,1415,Unicorncore,"A core aesthetic centered around unicorn themes, emphasizing specific visual and cultural elements that define this particular aesthetic movement.",pre-1900s,interior_design,"retro,cute",,,"cute,endearing,charming","Softcore,Cottagecore,Fairycore,Darkcore",,/home/ubuntu/aesthetic_images/unicorncore/unicorncore_1.jpg;/home/ubuntu/aesthetic_images/unicorncore/unicorncore_2.jpg;/home/ubuntu/aesthetic_images/unicorncore/unicorncore_3.jpg,,,0,0.00,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971
070cbcab-5b3b-4cb8-881e-7139ac90797d,765,DORFic,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the DORFic aesthetic.",1960s,fashion,"cute,futuristic,grungy","clothing styles,accessories,textiles,patterns,silhouettes,sleek designs,metallic surfaces,LED lighting","electric blue,metallic silver,neon purple,white","progressive,endearing,charming,cute,innovative",,,,,,0,0.00,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732
070d5651-669d-47cb-908b-5125f370dcb8,1040,Mermaid,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Mermaid aesthetic.",2000s,fashion,"atmospheric,pastel,grungy,urban","clothing styles,accessories,textiles,patterns,silhouettes,soft colors,gentle gradients,light tones","pastel pink,hot pink,asphalt black,concrete gray,electric blue,pastel blue","evocative,atmospheric,grungy,immersive,raw",,,,,,0,0.00,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97,2025-09-12 22:17:43.97
07153beb-4a45-43cc-b53a-e68f4337d064,720,Dandy,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Dandy aesthetic.",1960s,visual_art,"urban,rural","city landscapes,street art,concrete structures,neon signs","steel blue,asphalt black,concrete gray,brick red",,,,,,,0,0.00,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732,2025-09-12 22:17:43.732
07230934-6d0c-4fe4-9f85-5ac8ec8032a6,,Kuudere,A kuudere aesthetic style,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176
07541e31-7e46-4c0c-b130-17a47f0f9a8d,,Bipolar,A bipolar aesthetic style with distinctive visual and cultural characteristics,,,,,,,poppare,,,Contemporary,Modern,0,0.00,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175,2025-09-12 22:17:44.175
075ebf78-02b8-46bc-a997-4f052e8ded2d,,Grunge Yellow,A grunge yellow aesthetic style with distinctive visual and cultural characteristics,,,,,,,cute yellow,,,Gothic,Dark/Gothic,0,0.00,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176
076cb9fc-81c6-42b6-aab4-e7873ec282c3,,Lifestylecore,A lifestylecore aesthetic style,,,,,,,,,,Contemporary,Core Aesthetic,0,0.00,2025-09-12 22:18:58.672,2025-09-12 22:18:58.672,2025-09-12 22:18:58.672
076e16d1-b140-4618-a8dc-77b026c4f415,1439,Vintage British Sportsman,"An aesthetic movement characterized by distinctive visual elements, cultural themes, and stylistic choices that define the Vintage British Sportsman aesthetic.",1960s,internet_culture,"cute,retro,grungy,pastel","digital interfaces,screen aesthetics,online imagery,memes,social media visuals,soft colors,gentle gradients,light tones","lavender,pastel blue,pastel pink,pastel yellow","endearing,charming,cute,grungy,authentic","Internetcore,Webcore,Cybercore,Glitchcore",,/home/ubuntu/aesthetic_images/Vintage/Vintage_1.jpg; /home/ubuntu/aesthetic_images/Vintage/Vintage_2.jpg; /home/ubuntu/aesthetic_images/Vintage/Vintage_3.webp,,,0,0.00,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971,2025-09-12 22:17:43.971
07bde7e5-5f07-4f8b-b3f2-9b5468e81cdc,,Light Grunge,A light grunge aesthetic style,,,,,,,,,,Contemporary,Modern,0,0.00,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176,2025-09-12 22:17:44.176
